Sample.ID,Sex,Age,Year,month,locality,Lat,Long,Length,Type,Lifestage,State,Species,Region,Place Holder
UA_117933,M,,1995,5,"St. Paul Island, Alaska,USA",57.16666667,-170.25,,,,,Sea Lion,,
UA_118782,M,immature,2013,8,Uganik Bay,57.7550941,-153.368353,1065,total length,immature,,Sea Lion,,
UA_118783,M,pup,2012,1,Homer,59.631565,-151.494091,,,pup,,Sea Lion,,
UA_118784,M,,2012,6,Sitka,57.0861,-135.3855,,,,,Sea Lion,,
UA_118790,M,juvenile,2011,7,Chiswell Island,59.6,-149.56,,,juvenile,,Sea Lion,,
UA_118803,M,,2013,5,Seward,60.099961,-149.440708,,,,,Sea Lion,,
UA_134119,F,adult,2016,3,"S. Point Higgins, Ketchikan",55.44455,-131.819,,,adult,,Sea Lion,,
UA_137148,M,,2013,4,"Cape USAt Hanlont, Kodiak Island",58.51883,-153.84778,,,,,Sea Lion,,
UA_1528,M,yearling,1953,6,Lukanin Bay,57.14166667,-170.2333333,,,yearling,,Sea Lion,,
UA_24982,M,,1994,10,,57.12222222,-170.275,,,,,Sea Lion,,
UA_30176,M,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_30181,M,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_31916,F,adult,1994,5,,57.12222222,-170.275,,,adult,,Sea Lion,,
UA_32730,M,juvenile,1994,5,,57.12222222,-170.275,,,juvenile,,Sea Lion,,
UA_41945,M,fetus,1971,4,,57.08333333,-169.7933333,813,total length,fetus,,Sea Lion,,
UA_53761,M,,1993,8,"seaward shore, W side of Island, W side of Copper River Delta",60.355,-145.8366667,178,total length,,,Sea Lion,,
UA_56104,M,,1998,5,Saint Paul Island reef,58.10833333,-170.2916667,,,,,Sea Lion,,
UA_56106,M,,1998,5,Kitovi,57.125,-170.2555556,,,,,Sea Lion,,
UA_mm:252,M,,2018,8,Utqiaġvik,71.32,-156.706,,,,,Sea Lion,,
UA_127672,F,,2015,9,"2-3 miles NW Parking lot Bishop Beach, Kachemak Bay",59.6474,-151.6242,,,,,Sea Lion,,
UA_134116,F,,2016,2,Cannery Point Tenakee,57.463213,-135.41759,,,,,Sea Lion,,
UA_137785,M,fetus,2012,4,"Cape Ugat haulout, Kodiak Island",57.87333,-153.84814,,,fetus,,Sea Lion,,
UA_138079,F,neonate,2017,5,Chiswell Islands,59.643807,-149.614353,,,neonate,,Sea Lion,,
UA_138333,M,subadult,2018,6,"Round Island, Flat Rock",58.611403,-159.980836,,,,,Sea Lion,,
UA_30177,F,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_30178,M,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_30179,M,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_30180,M,,1994,5,,57.12222222,-170.275,,,,,Sea Lion,,
UA_31965,M,,1994,10,,57.12222222,-170.275,,,,,Sea Lion,,
UA_32731,M,juvenile,1994,5,,57.12222222,-170.275,,,juvenile,,Sea Lion,,
UA_53770,F,,1993,5,"seaward shore of Island, Copper River Delta",60.28,-145.4616667,,,,,Sea Lion,,
UA_56102,M,,1998,5,Zapadni Rookery,57.14722222,-170.3333333,,,,,Sea Lion,,
UA_56105,M,,1998,5,Lukanin Bay,57.14166667,-170.2333333,,,,,Sea Lion,,
UA_110731,F,22.76 months,2000,4,Point Elrington,,,,,,,Sea Lion,,
UA_110819,M,10.91 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110820,F,10.91 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110821,F,10.91 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110823,M,10.91 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110824,M,10.98 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110826,M,10.98 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110863,M,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_110864,M,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_110867,M,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_110933,M,11.28 months,2002,5,Point Elrington,,,,,,,Sea Lion,,
UA_110934,F,11.28 months,2002,5,Point Elrington,,,,,,,Sea Lion,,
UA_110935,M,11.28 months,2002,5,Point Elrington,,,,,,,Sea Lion,,
UA_110936,M,11.28 months,2002,5,Point Elrington,,,,,,,Sea Lion,,
UA_111061,M,8.4 months,2004,2,Specific locality unknown,,,,,,,Sea Lion,,
UA_111062,M,8.4 months,2004,2,Specific locality unknown,,,,,,,Sea Lion,,
UA_111063,M,20.57 months,2004,2,Specific locality unknown,,,,,,,Sea Lion,,
UA_112613,U,,2003,7,Specific locality unknown,,,,,,,Sea Lion,,
UA_112638,U,,2000,1,Specific locality unknown,,,,,,,Sea Lion,,
UA_112646,U,fetus,2005,2,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_112648,U,fetus,2005,2,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_112665,U,,2000,1,Specific locality unknown,,,,,,,Sea Lion,,
UA_11503,F,,1880,1,,,,,,,,Sea Lion,,
UA_11506,M,adult,1880,1,specific locality unknown,,,,,adult,,Sea Lion,,
UA_115658,F,,1979,1,Specific locality unknown,,,,,,,Sea Lion,,
UA_115660,F,fetus,1988,1,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_117579,M,fetus,2005,1,specific locality unknown,,,1000,total length,fetus,,Sea Lion,,
UA_44534,M,,1995,9,,,,,,,,Sea Lion,,
UA_4508,M,adult,1900,1,specific locality unknown,,,,,adult,,Sea Lion,,
UA_5217,M,adult,1880,1,Bristol Bay; perhaps Cold Bay,,,,,adult,,Sea Lion,,
UA_87399,U,fetus,2006,3,Benjamin Island,,,560,total length,fetus,,Sea Lion,,
UA_100204,F,fetus,2006,3,Benjamin Island,,,640,total length,fetus,,Sea Lion,,
UA_110289,F,neonate,2008,6,Bering Strait District: Vicinity of the Kukpuk River,,,,,neonate,,Sea Lion,,
UA_110336,M,adult,2008,7,Bering Strait District: Vicinity of the Kukpuk River,,,2840,total length,adult,,Sea Lion,,
UA_110822,M,10.91 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110825,F,10.98 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110827,F,11.01 months,2001,5,Specific locality unknown,,,,,,,Sea Lion,,
UA_110862,M,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_110865,M,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_110866,F,2.92 months,2001,9,specific locality unknown,,,,,,,Sea Lion,,
UA_112611,U,fetus,2003,9,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_112626,U,fetus,2000,1,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_112641,U,fetus,2003,9,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_112645,U,,2004,3,Specific locality unknown,,,,,,,Sea Lion,,
UA_112666,U,pup,2004,3,Specific locality unknown,,,,,pup,,Sea Lion,,
UA_115659,F,fetus,1988,1,Specific locality unknown,,,,,fetus,,Sea Lion,,
UA_115661,M,,2008,10,Specific locality unknown,,,,,,,Sea Lion,,
UA_115664,N,,2008,9,Specific locality unknown,,,,,,,Sea Lion,,
UA_134120,F,,2005,3,USA/Alaska,,,704,total length,,,Sea Lion,,
UA_37032,F,,1975,1,Cordova area,,,,,,,Sea Lion,,
UA_43376,M,,1994,5,,,,,,,,Sea Lion,,
UA_43381,F,,1996,1,,,,,,,,Sea Lion,,
UA_44533,M,,1996,1,,,,,,,,Sea Lion,,
UA_5216,M,adult,1880,1,Bristol Bay - Specific locality unknown.,,,,,adult,,Sea Lion,,
UA_67097,M,,1880,1,specific locality unknown,,,,,,,Sea Lion,,
