,Sample.ID,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
77,UA_99665,2006,SE,1680,Total Length,12,M,Adult,1,55.58,-133.1566667,AK,,Harbor Seal,NA
79,UA_19124,1972,SE,1460.5,Total Length,,F,Adult,1,57.55,-133.5166667,AK,,Harbor Seal,NA
82,UA_85206,2006,SE,960,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
105,UA_11778,1972,SE,1181,Total Length,,F,,1,57.4,-133.4666667,AK,,Harbor Seal,NA
121,UA_41617,1996,SE,1630,Total Length,,M,,1,55.72,-133.4166667,AK,,Harbor Seal,NA
127,UA_36262,1965,SE,NA,,,F,,1,55.93694444,-131.1883333,AK,,Harbor Seal,NA
97,UA_62888,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
98,UA_62890,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
99,UA_62893,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
101,UA_4233,1956,WG,NA,,adult,M,adult,1,59.91666667,-147.4166667,AK,,Sea Lion,7
102,UA_62892,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
104,UA_92552,2000,WG,NA,,,M,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
108,UA_62896,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
112,UA_5011,1958,WG,NA,,,U,,1,55.05,-162.3166667,AK,,Sea Lion,3
114,UA_62891,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
115,UA_102605,2010,WG,NA,,,U,,1,57.463614,-154.645436,AK,Grant Lagoon,Sea Lion,8
117,UA_31904,1995,WG,NA,,,F,,1,60.9413,-146.6667,AK,Galena Bay; Ideal Beach,Sea Lion,1
118,UA_86989,2006,WG,3200.4,total length,adult,M,adult,1,57.596587,-152.4497222,AK,"Mayflower Beach, Kalsin Bay",Sea Lion,1
119,UA_92554,2000,WG,NA,,,F,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
122,UA_62894,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
123,UA_92555,2000,WG,NA,,,M,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
124,UA_110281,2008,WG,2410,total length,adult,F,adult,1,60.004,-149.3466667,AK,0.5 mile off of Thumb Point,Sea Lion,5
125,UA_110284,2010,WG,2100,total length,adult,F,adult,1,60.085739,-149.443729,AK,"Lowell Point Road, Resurrection Bay, just north of Storm Chasers shop building.",Sea Lion,1
128,UA_62889,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
130,UA_37032,1975,WG,NA,,,F,,1,NA,NA,AK,Cordova area,Sea Lion,1
110,UA_139249,NA,,NA,,,,,1,NA,NA,AK,,,NA
