,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
37,UA_35446,10.39336257,24.93953704,25.48775488,NA,24.96215061,12.45724737,28.48895874,NA,-21.04003393,16.75248146,28.98533333,11.0095,1996,SC,1310,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
38,UA_99693,12.18525696,23.83174837,24.82556572,NA,23.44469301,12.47629041,26.35392214,NA,-25.28564594,17.93992481,29.05116667,9.6785,2003,SC,1390,Total Length,8,M,,1,60.355,-146.6333333,AK,,Harbor Seal,NA
39,UA_11742,13.07190149,21.68846425,24.75418121,NA,23.7073535,10.12631679,25.80489369,NA,-24.71951069,15.63116644,26.65666667,9.011333333,1973,SC,116,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
40,UA_11920,12.50629085,22.13219831,24.26766855,NA,22.73257945,11.05359455,24.66197169,NA,-31.2927661,14.78497084,26.7445,7.421833333,1975,SC,148.3,Standard Length,,F,,1,60.33333333,-145.1666667,AK,,Harbor Seal,NA
41,UA_35442,13.56221522,23.61020955,25.40471074,NA,22.87688185,12.03683537,25.87748945,NA,-31.7198592,15.70212285,27.982,8.810666667,1996,SC,1480,Total Length,,M,,1,60.35666667,-147.1033333,AK,,Harbor Seal,NA
42,UA_84943,13.60527124,24.06383951,25.72469808,NA,24.54344113,9.801946455,27.80740079,NA,-28.7641146,15.19076058,27.692,9.598666667,2002,SC,1250,Total Length,3,M,Adult,1,61.13055556,-146.5861111,AK,,Harbor Seal,NA
43,UA_87032,13.41831046,23.3940571,25.48213902,NA,22.71788444,11.4399093,28.01637593,NA,-20.97075093,16.52734776,26.53033333,8.754666667,2003,SC,1480,Total Length,8,F,Adult,1,61.40083333,-150.5085,AK,,Harbor Seal,NA
44,UA_99575,12.75258777,23.74892714,25.40265168,NA,23.78799182,9.96113155,29.35196459,NA,-23.41066219,16.79454337,27.9595,9.5845,2005,SC,1500,Total Length,4,M,,1,60.72,-146.7166667,AK,,Harbor Seal,NA
45,UA_11475,11.88563192,22.64929111,24.63154788,NA,25.64174782,11.29903508,28.05548216,NA,-24.99486493,15.09202572,27.39083333,10.07383333,1962,SC,NA,,Adult,M,,1,59.25,-151.25,AK,,Harbor Seal,NA
46,UA_11738,11.41818798,22.78831291,25.02696211,NA,23.43421966,8.287024275,25.32507697,NA,-24.6200296,15.01027975,20.0805,8.979833333,1973,SC,1530,Total Length,,F,,1,59.8,-149.5,AK,,Harbor Seal,NA
47,UA_11740,12.09170064,22.06245182,23.91568961,NA,23.14069383,9.309111604,26.69285184,NA,-25.49894301,14.55164898,25.54683333,8.104833333,1973,SC,130,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
48,UA_28950,12.03619431,23.17104903,25.64457586,NA,23.86445674,9.306234606,26.9887144,NA,-26.80740298,14.3725477,27.22016667,9.2045,1980,SC,NA,,,F,,1,59.66666667,-149.5666667,AK,,Harbor Seal,NA
49,UA_84950,13.24328593,24.33298553,29.48682038,NA,24.39594031,12.46228108,27.72737396,NA,NA,19.02648982,30.7585,11.043,2002,SC,1160,Total Length,2,F,,1,60.74388889,-146.2069444,AK,,Harbor Seal,NA
50,UA_99641,13.22345893,22.97705499,23.83393413,NA,23.07234406,10.72232475,27.71734473,NA,-26.5258249,15.02892444,26.23783333,8.756833333,2004,SC,1450,Total Length,14,F,Adult,1,60.54166667,-145.7566667,AK,,Harbor Seal,NA
